[00:02:37] Directory ready: /home/alexk/record/temp_recovery
[00:02:37] Directory ready: /home/alexk/data
[00:02:37] Directory ready: /home/alexk/archive
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_000000.ubx to rnx
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_010000.ubx to rnx

DATE/TIME           | C | EPOCH / FILE            | SITE | T | MESSAGE
2026-02-26 00:02:41 | W | 2022-02-10 01:07:45.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:07:45.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:08:19.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:08:19.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 01:08:19.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:08:38.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:08:38.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:08:38.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:10:56.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:10:56.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 01:10:56.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:11:15.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:11:15.000 | ANTC | O | mismatch of number of satellites(36) and records got(35) 2022-02-10 01:11:15.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:11:46.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:11:46.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 01:11:46.0000000 !
2026-02-26 00:02:42 | W | 2022-02-10 01:22:51.000 | ANTC | O | format error (dot-check) for prn G01 (length 128 / 8 values)
2026-02-26 00:02:42 | W | 2022-02-10 01:22:51.000 | ANTC | O | mismatch of number of satellites(36) and records got(35) 2022-02-10 01:22:51.0000000 !
2026-02-26 00:02:42 | W | 2022-02-10 01:24:54.000 | ANTC | O | format error (dot-check) for prn C09 (length 128 / 8 values)
